epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.2217,1.70448,2.13371,1.7106,0.37429,0.32794,0.27638,0.13995,1.76374,2.31691,1.91809,0.0670621,0.000165517,0.000165517
2,150.64,1.55312,1.75542,1.61922,0.31317,0.39043,0.26926,0.11886,1.84225,3.16324,2.00976,0.0338951,0.000331859,0.000331859
3,224.275,1.58029,1.64928,1.63091,0.51083,0.35335,0.33059,0.15439,1.70569,2.75919,1.90675,0.000726789,0.000496903,0.000496903
4,297.494,1.54702,1.62515,1.62093,0.61483,0.44623,0.42911,0.19606,1.59941,2.04225,1.72148,0.000495616,0.000495616,0.000495616
5,370.614,1.47527,1.51988,1.56179,0.61229,0.32476,0.35962,0.169,1.64286,2.40695,1.72299,0.000492224,0.000492224,0.000492224
6,443.614,1.47942,1.53052,1.56197,0.41506,0.44298,0.40721,0.22177,1.43833,1.86935,1.58059,0.000487886,0.000487886,0.000487886
7,517.118,1.47947,1.48145,1.55169,0.63165,0.49608,0.47491,0.26157,1.37805,1.69767,1.54237,0.00048262,0.00048262,0.00048262
8,590.016,1.43933,1.41874,1.52815,0.51698,0.48962,0.46511,0.23919,1.40829,1.51067,1.53288,0.000476445,0.000476445,0.000476445
9,662.744,1.39736,1.38303,1.5051,0.54222,0.51253,0.4984,0.26967,1.4055,1.60231,1.55217,0.000469386,0.000469386,0.000469386
10,736.241,1.37456,1.29997,1.48221,0.62393,0.51127,0.50535,0.27084,1.38897,1.527,1.54409,0.000461471,0.000461471,0.000461471
11,809.7,1.35556,1.29859,1.47535,0.6703,0.54613,0.55576,0.30936,1.3177,1.31336,1.47654,0.000452732,0.000452732,0.000452732
12,882.886,1.33208,1.2702,1.43633,0.50008,0.62077,0.51615,0.28935,1.24043,1.3178,1.4201,0.000443202,0.000443202,0.000443202
13,955.806,1.29087,1.20221,1.41599,0.73433,0.53849,0.5686,0.32557,1.25973,1.29778,1.43656,0.00043292,0.00043292,0.00043292
14,1028.78,1.27297,1.16414,1.40847,0.66851,0.53778,0.57039,0.33747,1.20677,1.20094,1.38451,0.000421925,0.000421925,0.000421925
